Region,Country Name,Mobile users per capita,Population: Total (count),Year,Migration: Top 3 destinations,Migration: Top 3 sources
Africa,Madagascar,0.00,15364272.0,2000,"[('United Kingdom', 31476.0), ('Comoros', 11403.0), ('United States', 3522.0)]",
Africa,Malawi,0.00,11228756.0,2000,"[('Zimbabwe', 142229.0), ('South Africa', 26143.0), ('Zambia', 15551.0)]",
Asia,Malaysia,0.22,23414909.0,2000,"[('Singapore', 725607.0), ('Australia', 77737.0), ('Hong Kong SAR, China', 70681.0)]",
Asia,Maldives,0.03,273236.0,2000,"[('India', 240.0), ('Australia', 170.0), ('New Zealand', 38.0)]",
Africa,Mali,0.00,11295324.0,2000,"[(""Cote d'Ivoire"", 444425.0), ('Nigeria', 90128.0), ('Burkina Faso', 64438.0)]",
Europe,Malta,0.30,381363.0,2000,"[('Australia', 46557.0), ('France', 9528.0), ('Canada', 9255.0)]",
Oceania,Marshall Islands,0.01,52145.0,2000,"[('United States', 5161.0), ('Micronesia, Fed. Sts.', 311.0), ('Northern Mariana Islands', 131.0)]",
Africa,Mauritania,0.01,2642743.0,2000,"[('Ghana', 28145.0), ('Senegal', 22780.0), ('Nigeria', 11938.0)]",
Africa,Mauritius,0.15,1186873.0,2000,"[('United Kingdom', 23919.0), ('Australia', 16958.0), ('Italy', 10572.0)]",
The Americas,Mexico,0.14,99959594.0,2000,"[('United States', 9367910.0), ('Canada', 42939.0), ('Russian Federation', 25104.0)]",
Oceania,"Micronesia, Fed. Sts.",0.00,107103.0,2000,"[('Guam', 6994.0), ('Northern Mariana Islands', 2218.0), ('Philippines', 1768.0)]",
Europe,Moldova,0.04,3639588.0,2000,"[('Russian Federation', 277527.0), ('Ukraine', 165126.0), ('Romania', 39157.0)]",
Europe,Monaco,NA,35126.0,2000,"[('France', 1097.0), ('Thailand', 325.0), ('Germany', 222.0)]",
Asia,Mongolia,0.06,2411369.0,2000,"[('Hungary', 1416.0), ('Czech Republic', 572.0), ('Switzerland', 329.0)]",
Europe,Montenegro,NA,632606.0,2000,[],
Africa,Morocco,0.08,28793236.0,2000,"[('Italy', 286498.0), ('France', 262462.0), ('Spain', 253173.0)]",
Africa,Mozambique,0.00,18200656.0,2000,"[('South Africa', 264572.0), ('Malawi', 110451.0), ('Zimbabwe', 95036.0)]",
Asia,Myanmar,0.00,44957660.0,2000,"[('Thailand', 171759.0), ('India', 60627.0), ('United States', 35623.0)]",
Africa,Namibia,0.04,1895839.0,2000,"[('South Africa', 44473.0), ('Malawi', 8155.0), ('Zambia', 2023.0)]",
Asia,Nepal,0.00,24400606.0,2000,"[('India', 649166.0), ('Pakistan', 34515.0), ('Thailand', 21350.0)]",
Europe,Netherlands,0.68,15925513.0,2000,"[('Canada', 115944.0), ('Germany', 112253.0), ('United States', 106397.0)]",
Oceania,New Caledonia,0.23,213230.0,2000,"[('France', 9450.0), ('Reunion', 5596.0), ('French Polynesia', 2934.0)]",
Oceania,New Zealand,0.40,3857800.0,2000,"[('Australia', 350498.0), ('United Kingdom', 60530.0), ('United States', 26771.0)]",
The Americas,Nicaragua,0.02,5073704.0,2000,"[('United States', 229386.0), ('Costa Rica', 226582.0), ('Canada', 9279.0)]",
Africa,Niger,0.00,10922421.0,2000,"[('Nigeria', 58115.0), (""Cote d'Ivoire"", 57705.0), ('Benin', 45137.0)]",
Africa,Nigeria,0.00,123688536.0,2000,"[('United States', 141571.0), ('United Kingdom', 106221.0), ('Cameroon', 72187.0)]",
NA,Northern Mariana Islands,0.04,68432.0,2000,"[('United States', 7711.0), ('Guam', 2186.0), ('Palau', 214.0)]",
Europe,Norway,0.72,4490967.0,2000,"[('Sweden', 42012.0), ('Germany', 41266.0), ('United States', 38323.0)]",
Middle East,Oman,0.07,2264163.0,2000,"[('United Arab Emirates', 116710.0), ('West Bank and Gaza', 90518.0), ('Kuwait', 39307.0)]",
Asia,Pakistan,0.00,144522192.0,2000,"[('India', 1331659.0), ('Saudi Arabia', 638606.0), ('United Arab Emirates', 569556.0)]",
NA,Palau,NA,19172.0,2000,"[('United States', 9066.0), ('Philippines', 3135.0), ('Thailand', 2274.0)]",
The Americas,Panama,0.14,2956126.0,2000,"[('United States', 146882.0), ('Costa Rica', 10279.0), ('Canada', 2483.0)]",
Oceania,Papua New Guinea,0.00,5378824.0,2000,"[('Australia', 23266.0), ('United States', 9189.0), ('Solomon Islands', 1573.0)]",
The Americas,Paraguay,0.15,5343539.0,2000,"[('Argentina', 331688.0), ('Brazil', 28828.0), ('United States', 13715.0)]",
The Americas,Peru,0.05,25861887.0,2000,"[('United States', 285925.0), ('Argentina', 91182.0), ('Italy', 46851.0)]",
Asia,Philippines,0.08,77309965.0,2000,"[('United States', 1505820.0), ('Saudi Arabia', 369850.0), ('Canada', 233010.0)]",
Europe,Poland,0.18,38453757.0,2000,"[('Germany', 1999975.0), ('France', 800387.0), ('United States', 490599.0)]",
Europe,Portugal,0.65,10225836.0,2000,"[('Brazil', 212917.0), ('United States', 212370.0), ('Canada', 151562.0)]",
The Americas,Puerto Rico,0.35,3810605.0,2000,"[('United States', 1455095.0), ('Dominican Republic', 10690.0), ('Russian Federation', 7564.0)]",
Middle East,Qatar,0.20,590957.0,2000,"[('Canada', 1083.0), ('West Bank and Gaza', 1052.0), ('Kuwait', 338.0)]",
Europe,Romania,0.11,22442971.0,2000,"[('Germany', 324085.0), ('United States', 140085.0), ('Israel', 139278.0)]",
Europe,Russian Federation,0.02,146303000.0,2000,"[('Ukraine', 3613240.0), ('Kazakhstan', 1931909.0), ('Germany', 978793.0)]",
Africa,Rwanda,0.00,8098344.0,2000,"[('Uganda', 65400.0), ('Sudan', 60380.0), ('Burundi', 29159.0)]",
Oceania,Samoa,0.01,176549.0,2000,"[('New Zealand', 46795.0), ('American Samoa', 17777.0), ('United States', 17467.0)]",
Europe,San Marino,0.54,26967.0,2000,"[('Italy', 3115.0), ('Germany', 401.0), ('Switzerland', 33.0)]",
Africa,Sao Tome and Principe,0.00,141010.0,2000,"[('Portugal', 12267.0), ('Angola', 5915.0), ('Cape Verde', 3433.0)]",
Middle East,Saudi Arabia,0.07,20045276.0,2000,"[('West Bank and Gaza', 86899.0), ('Kuwait', 33493.0), ('United States', 27946.0)]",
Africa,Senegal,0.03,9505862.0,2000,"[('Gambia, The', 98366.0), ('Italy', 49590.0), ('Mauritania', 40517.0)]",
Europe,Serbia,NA,7516346.0,2000,[],
